Pos.,No.,Driver,Team,Laps,Time / Retired,Pts.,Year,Country,Race Date,Race Link
16,94,Pascal WehrleinWEH,MRT Mercedes,60.0,+1 lap,0.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
17,9,Marcus EricssonERI,Sauber Ferrari,60.0,+1 lap,0.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
18,31,Esteban OconOCO,MRT Mercedes,59.0,+2 laps,0.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
NC,22,Jenson ButtonBUT,McLaren Honda,43.0,DNF,0.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
NC,77,Valtteri BottasBOT,Williams Mercedes,35.0,DNF,0.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
NC,27,Nico HulkenbergHUL,Force India Mercedes,0.0,DNF,0.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
NC,8,Romain GrosjeanGRO,Haas Ferrari,0.0,DNS,0.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
1,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,56.0,1:37:12.776,25.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
2,33,Max VerstappenVER,Red Bull Racing TAG Heuer,56.0,+2.443s,18.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
3,6,Nico RosbergROS,Mercedes,56.0,+25.516s,15.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
4,7,Kimi RäikkönenRAI,Ferrari,56.0,+28.785s,12.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
5,77,Valtteri BottasBOT,Williams Mercedes,56.0,+61.582s,10.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
6,11,Sergio PerezPER,Force India Mercedes,56.0,+63.794s,8.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
7,14,Fernando AlonsoALO,McLaren Honda,56.0,+65.205s,6.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
8,27,Nico HulkenbergHUL,Force India Mercedes,56.0,+74.062s,4.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
9,22,Jenson ButtonBUT,McLaren Honda,56.0,+81.816s,2.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
10,30,Jolyon PalmerPAL,Renault,56.0,+95.466s,1.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
11,55,Carlos SainzSAI,Toro Rosso Ferrari,56.0,+98.878s,0.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
12,9,Marcus EricssonERI,Sauber Ferrari,55.0,+1 lap,0.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
13,19,Felipe MassaMAS,Williams Mercedes,55.0,+1 lap,0.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
14,26,Daniil KvyatKVY,Toro Rosso Ferrari,55.0,+1 lap,0.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
15,94,Pascal WehrleinWEH,MRT Mercedes,55.0,+1 lap,0.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
16,31,Esteban OconOCO,MRT Mercedes,55.0,+1 lap,0.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
NC,12,Felipe NasrNAS,Sauber Ferrari,46.0,DNF,0.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
NC,44,Lewis HamiltonHAM,Mercedes,40.0,DNF,0.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
NC,21,Esteban Gutierrez GUT,Haas Ferrari,39.0,DNF,0.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
NC,20,Kevin MagnussenMAG,Renault,17.0,DNF,0.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
NC,8,Romain GrosjeanGRO,Haas Ferrari,7.0,DNF,0.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
NC,5,Sebastian VettelVET,Ferrari,0.0,DNF,0.0,2016,Flag of MalaysiaMalaysia,02 Oct,https://www.formula1.com/en/results/2016/races/952/malaysia/race-result
1,6,Nico RosbergROS,Mercedes,53.0,1:26:43.333,25.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
2,33,Max VerstappenVER,Red Bull Racing TAG Heuer,53.0,+4.978s,18.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
3,44,Lewis HamiltonHAM,Mercedes,53.0,+5.776s,15.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
4,5,Sebastian VettelVET,Ferrari,53.0,+20.269s,12.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
5,7,Kimi RäikkönenRAI,Ferrari,53.0,+28.370s,10.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
6,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,53.0,+33.941s,8.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
7,11,Sergio PerezPER,Force India Mercedes,53.0,+57.495s,6.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
8,27,Nico HulkenbergHUL,Force India Mercedes,53.0,+59.177s,4.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
9,19,Felipe MassaMAS,Williams Mercedes,53.0,+97.763s,2.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
10,77,Valtteri BottasBOT,Williams Mercedes,53.0,+98.323s,1.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
11,8,Romain GrosjeanGRO,Haas Ferrari,53.0,+99.254s,0.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
12,30,Jolyon PalmerPAL,Renault,52.0,+1 lap,0.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
13,26,Daniil KvyatKVY,Toro Rosso Ferrari,52.0,+1 lap,0.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
14,20,Kevin MagnussenMAG,Renault,52.0,+1 lap,0.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
15,9,Marcus EricssonERI,Sauber Ferrari,52.0,+1 lap,0.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
16,14,Fernando AlonsoALO,McLaren Honda,52.0,+1 lap,0.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
17,55,Carlos SainzSAI,Toro Rosso Ferrari,52.0,+1 lap,0.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
18,22,Jenson ButtonBUT,McLaren Honda,52.0,+1 lap,0.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
19,12,Felipe NasrNAS,Sauber Ferrari,52.0,+1 lap,0.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
20,21,Esteban Gutierrez GUT,Haas Ferrari,52.0,+1 lap,0.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
21,31,Esteban OconOCO,MRT Mercedes,52.0,+1 lap,0.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
22,94,Pascal WehrleinWEH,MRT Mercedes,52.0,+1 lap,0.0,2016,Flag of JapanJapan,09 Oct,https://www.formula1.com/en/results/2016/races/953/japan/race-result
1,44,Lewis HamiltonHAM,Mercedes,56.0,1:38:12.618,25.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
2,6,Nico RosbergROS,Mercedes,56.0,+4.520s,18.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
3,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,56.0,+19.692s,15.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
4,5,Sebastian VettelVET,Ferrari,56.0,+43.134s,12.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
5,14,Fernando AlonsoALO,McLaren Honda,56.0,+93.953s,10.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
6,55,Carlos SainzSAI,Toro Rosso Ferrari,56.0,+96.124s,8.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
7,19,Felipe MassaMAS,Williams Mercedes,55.0,+1 lap,6.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
8,11,Sergio PerezPER,Force India Mercedes,55.0,+1 lap,4.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
9,22,Jenson ButtonBUT,McLaren Honda,55.0,+1 lap,2.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
10,8,Romain GrosjeanGRO,Haas Ferrari,55.0,+1 lap,1.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
11,26,Daniil KvyatKVY,Toro Rosso Ferrari,55.0,+1 lap,0.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
12,20,Kevin MagnussenMAG,Renault,55.0,+1 lap,0.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
13,30,Jolyon PalmerPAL,Renault,55.0,+1 lap,0.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
14,9,Marcus EricssonERI,Sauber Ferrari,55.0,+1 lap,0.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
15,12,Felipe NasrNAS,Sauber Ferrari,55.0,+1 lap,0.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
16,77,Valtteri BottasBOT,Williams Mercedes,55.0,+1 lap,0.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
17,94,Pascal WehrleinWEH,MRT Mercedes,55.0,+1 lap,0.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
18,31,Esteban OconOCO,MRT Mercedes,54.0,+2 laps,0.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
NC,7,Kimi RäikkönenRAI,Ferrari,38.0,DNF,0.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
NC,33,Max VerstappenVER,Red Bull Racing TAG Heuer,28.0,DNF,0.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
NC,21,Esteban Gutierrez GUT,Haas Ferrari,16.0,DNF,0.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
NC,27,Nico HulkenbergHUL,Force India Mercedes,1.0,DNF,0.0,2016,Flag of United States of AmericaUnited States,23 Oct,https://www.formula1.com/en/results/2016/races/954/united-states/race-result
1,44,Lewis HamiltonHAM,Mercedes,71.0,1:40:31.402,25.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
2,6,Nico RosbergROS,Mercedes,71.0,+8.354s,18.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
3,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,71.0,+20.858s,15.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
4,33,Max VerstappenVER,Red Bull Racing TAG Heuer,71.0,+21.323s,12.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
5,5,Sebastian VettelVET,Ferrari,71.0,+27.313s,10.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
6,7,Kimi RäikkönenRAI,Ferrari,71.0,+49.376s,8.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
7,27,Nico HulkenbergHUL,Force India Mercedes,71.0,+58.891s,6.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
8,77,Valtteri BottasBOT,Williams Mercedes,71.0,+65.612s,4.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
9,19,Felipe MassaMAS,Williams Mercedes,71.0,+76.206s,2.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
10,11,Sergio PerezPER,Force India Mercedes,71.0,+76.798s,1.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
11,9,Marcus EricssonERI,Sauber Ferrari,70.0,+1 lap,0.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
12,22,Jenson ButtonBUT,McLaren Honda,70.0,+1 lap,0.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
13,14,Fernando AlonsoALO,McLaren Honda,70.0,+1 lap,0.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
14,30,Jolyon PalmerPAL,Renault,70.0,+1 lap,0.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
15,12,Felipe NasrNAS,Sauber Ferrari,70.0,+1 lap,0.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
16,55,Carlos SainzSAI,Toro Rosso Ferrari,70.0,+1 lap,0.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
17,20,Kevin MagnussenMAG,Renault,70.0,+1 lap,0.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
18,26,Daniil KvyatKVY,Toro Rosso Ferrari,70.0,+1 lap,0.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
19,21,Esteban Gutierrez GUT,Haas Ferrari,70.0,+1 lap,0.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
20,8,Romain GrosjeanGRO,Haas Ferrari,70.0,+1 lap,0.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
21,31,Esteban OconOCO,MRT Mercedes,69.0,+2 laps,0.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
NC,94,Pascal WehrleinWEH,MRT Mercedes,0.0,DNF,0.0,2016,Flag of MexicoMexico,30 Oct,https://www.formula1.com/en/results/2016/races/955/mexico/race-result
1,44,Lewis HamiltonHAM,Mercedes,71.0,3:01:01.335,25.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
2,6,Nico RosbergROS,Mercedes,71.0,+11.455s,18.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
3,33,Max VerstappenVER,Red Bull Racing TAG Heuer,71.0,+21.481s,15.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
4,11,Sergio PerezPER,Force India Mercedes,71.0,+25.346s,12.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
5,5,Sebastian VettelVET,Ferrari,71.0,+26.334s,10.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
6,55,Carlos SainzSAI,Toro Rosso Ferrari,71.0,+29.160s,8.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
7,27,Nico HulkenbergHUL,Force India Mercedes,71.0,+29.827s,6.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
8,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,71.0,+30.486s,4.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
9,12,Felipe NasrNAS,Sauber Ferrari,71.0,+42.620s,2.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
10,14,Fernando AlonsoALO,McLaren Honda,71.0,+44.432s,1.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
11,77,Valtteri BottasBOT,Williams Mercedes,71.0,+45.292s,0.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
12,31,Esteban OconOCO,MRT Mercedes,71.0,+45.809s,0.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
13,26,Daniil KvyatKVY,Toro Rosso Ferrari,71.0,+51.192s,0.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
14,20,Kevin MagnussenMAG,Renault,71.0,+51.555s,0.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
15,94,Pascal WehrleinWEH,MRT Mercedes,71.0,+60.498s,0.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
16,22,Jenson ButtonBUT,McLaren Honda,71.0,+81.994s,0.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
NC,21,Esteban Gutierrez GUT,Haas Ferrari,60.0,DNF,0.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
NC,19,Felipe MassaMAS,Williams Mercedes,46.0,DNF,0.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
NC,30,Jolyon PalmerPAL,Renault,20.0,DNF,0.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
NC,7,Kimi RäikkönenRAI,Ferrari,19.0,DNF,0.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
NC,9,Marcus EricssonERI,Sauber Ferrari,11.0,DNF,0.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
NC,8,Romain GrosjeanGRO,Haas Ferrari,0.0,DNS,0.0,2016,Flag of BrazilBrazil,13 Nov,https://www.formula1.com/en/results/2016/races/956/brazil/race-result
